                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.80015,                0.55751,                0.97168,                0.78241,                0.62159,                0.70053,                0.41627,                  1.365,                0.88359,                 1.1969,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.7914,                0.55172,                0.96303,                0.77874,                 0.6334,                0.70303,                0.41613,                 1.3626,                0.89005,                  1.195,             0.00047876,             0.00047876,             0.00047876
                     74,                0.78263,                0.54926,                0.96701,                0.78657,                0.62599,                 0.7043,                0.42002,                 1.3654,                0.87662,                 1.1946,             0.00046226,             0.00046226,             0.00046226
                     75,                0.78456,                 0.5502,                0.96023,                0.77279,                0.63468,                0.70487,                0.41959,                 1.3561,                0.87408,                 1.1876,             0.00044576,             0.00044576,             0.00044576
                     76,                0.77838,                0.54824,                0.96278,                0.76901,                0.64392,                0.70694,                0.42151,                 1.3567,                0.86385,                  1.195,             0.00042925,             0.00042925,             0.00042925
                     77,                0.76892,                0.53773,                0.96179,                0.77313,                0.62977,                0.70506,                0.42241,                 1.3574,                0.87617,                 1.1857,             0.00041275,             0.00041275,             0.00041275
                     78,                0.77829,                0.54168,                0.96065,                0.78038,                0.63852,                0.70904,                0.42339,                   1.36,                0.86187,                 1.1924,             0.00039625,             0.00039625,             0.00039625
                     79,                0.76856,                0.53183,                0.95865,                0.78471,                0.63729,                0.71092,                0.42584,                 1.3525,                0.85576,                 1.1893,             0.00037974,             0.00037974,             0.00037974
                     80,                0.75869,                0.52685,                0.95087,                0.77996,                0.64114,                0.70823,                0.42404,                 1.3492,                0.86597,                 1.1834,             0.00036324,             0.00036324,             0.00036324
                     81,                0.74633,                0.52196,                0.94822,                0.77978,                0.63992,                0.71024,                0.42501,                 1.3539,                0.86585,                 1.1871,             0.00034674,             0.00034674,             0.00034674
                     82,                0.76264,                0.53093,                0.96333,                0.77655,                0.64727,                0.71265,                0.42605,                 1.3506,                0.85735,                 1.1845,             0.00033023,             0.00033023,             0.00033023
                     83,                0.75231,                0.52377,                0.95312,                0.79322,                0.63144,                0.70993,                0.42489,                  1.354,                0.86247,                 1.1873,             0.00031373,             0.00031373,             0.00031373
                     84,                0.76236,                0.52672,                0.95651,                0.79525,                0.63221,                0.71547,                0.42779,                 1.3602,                0.85495,                 1.1896,             0.00029723,             0.00029723,             0.00029723
                     85,                0.75809,                0.53071,                0.96525,                0.78654,                0.64522,                0.71776,                0.42871,                 1.3504,                0.85187,                 1.1858,             0.00028072,             0.00028072,             0.00028072
                     86,                0.73162,                0.50337,                0.94301,                0.78174,                0.65094,                0.71918,                0.43014,                 1.3456,                0.84739,                 1.1839,             0.00026422,             0.00026422,             0.00026422
                     87,                0.73809,                0.50947,                0.95031,                0.78077,                0.64479,                 0.7141,                 0.4263,                 1.3564,                0.85766,                 1.1875,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.7388,                0.50146,                0.95061,                0.79639,                0.63779,                0.71695,                0.42974,                 1.3504,                0.84136,                 1.1832,             0.00023121,             0.00023121,             0.00023121
                     89,                0.72505,                0.49982,                0.94058,                0.78485,                 0.6498,                0.71941,                0.43255,                 1.3492,                0.83188,                 1.1858,             0.00021471,             0.00021471,             0.00021471
                     90,                0.70885,                0.49229,                0.93748,                0.78374,                 0.6471,                0.71696,                 0.4287,                 1.3529,                0.83579,                 1.1821,             0.00019821,             0.00019821,             0.00019821
                     91,                   1.24,                0.81893,                  1.154,                0.78637,                0.64384,                0.71985,                0.43458,                  1.338,                0.83668,                 1.1759,              0.0001817,              0.0001817,              0.0001817
                     92,                  1.216,                0.79741,                 1.1377,                 0.7928,                0.65352,                 0.7246,                0.44008,                 1.3293,                0.83085,                 1.1697,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.1995,                0.77086,                 1.1264,                0.78389,                0.65872,                 0.7262,                0.44063,                 1.3231,                0.82408,                 1.1649,              0.0001487,              0.0001487,              0.0001487
                     94,                  1.198,                0.76708,                 1.1251,                0.77971,                0.66039,                0.72547,                0.44015,                 1.3247,                0.82157,                 1.1677,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.1884,                 0.7628,                 1.1221,                0.79238,                0.65783,                0.73097,                 0.4438,                  1.316,                0.81207,                 1.1621,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.1807,                0.75071,                 1.1172,                0.78214,                 0.6662,                 0.7323,                  0.446,                 1.3159,                0.81312,                 1.1616,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.1783,                0.75003,                 1.1097,                0.78821,                0.66475,                0.73281,                0.44785,                 1.3083,                0.80707,                 1.1582,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 1.1711,                 0.7421,                 1.1118,                0.79193,                  0.663,                0.73263,                0.44704,                 1.3077,                 0.8067,                  1.157,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.1683,                0.74168,                 1.1045,                0.78199,                0.67248,                 0.7336,                0.44836,                 1.3039,                0.80507,                  1.156,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 1.1609,                0.73572,                 1.1005,                0.78912,                0.66648,                0.73256,                0.44896,                 1.3027,                0.80366,                 1.1559,             3.3173e-05,             3.3173e-05,             3.3173e-05
